Case ID,Activity,Resource,Start Timestamp,Complete Timestamp,CheckedCredibilityAssessment,RejectionLetter,BKRAssessment,LoanOffer,PickedUp,EVAAssessment,InitialPayment,AcceptedOffer,CredibilityAssessment,LoanActivation,LoanDetails
1542875400000,perform credit check,Murray,2018/11/22 08:57:48,2018/11/22 09:04:25,,,accepted,,,accepted,,,accepted,,
1542875400000,confirm credibility check,Murray,2018/11/22 09:04:25,2018/11/22 09:09:48,accepted,,,,,,,,,,
1542875400000,call client to complement information,Murray,2018/11/22 09:09:48,2018/11/22 09:14:13,,,,,pickedup,,,,,,
1542875400000,create loan offer,Murray,2018/11/22 09:14:13,2018/11/22 09:31:33,,,,created,,,,,,,
1542875400000,send loan offer,Murray,2018/11/22 09:31:33,2018/11/22 09:35:53,,,,,,,,,,,
1542875400001,perform credit check,Murray,2018/11/22 09:57:55,2018/11/22 10:11:52,,,accepted,,,accepted,,,accepted,,
1542875400002,perform credit check,Mose,2018/11/22 10:04:08,2018/11/22 10:18:32,,,accepted,,,accepted,,,accepted,,
1542875400001,confirm credibility check,Murray,2018/11/22 10:11:52,2018/11/22 10:20:41,accepted,,,,,,,,,,
1542875400002,confirm credibility check,Mose,2018/11/22 10:18:32,2018/11/22 10:23:36,accepted,,,,,,,,,,
1542875400001,call client to complement information,Murray,2018/11/22 10:20:41,2018/11/22 10:23:37,,,,,pickedup,,,,,,
1542875400002,call client to complement information,Mose,2018/11/22 10:23:36,2018/11/22 10:30:20,,,,,pickedup,,,,,,
1542875400000,receive accepted offer,,2018/11/22 10:35:10,2018/11/22 10:35:10,,,,,,,,received,,,
1542875400002,create loan offer,Mose,2018/11/22 10:30:20,2018/11/22 10:46:44,,,,created,,,,,,,
1542875400001,create loan offer,Murray,2018/11/22 10:23:37,2018/11/22 10:48:32,,,,created,,,,,,,
1542875400002,send loan offer,Murray,2018/11/22 10:48:32,2018/11/22 10:52:40,,,,,,,,,,,
1542875400001,send loan offer,Murray,2018/11/22 10:52:40,2018/11/22 10:55:48,,,,,,,,,,,
1542875400000,send welcome letter,Mose,2018/11/22 10:46:44,2018/11/22 11:01:23,,,,,,,,,,,
1542875400002,receive accepted offer,,2018/11/22 11:21:28,2018/11/22 11:21:28,,,,,,,,received,,,
1542875400003,perform credit check,Murray,2018/11/22 11:03:13,2018/11/22 11:22:10,,,accepted,,,accepted,,,accepted,,
1542875400003,confirm credibility check,Murray,2018/11/22 11:22:10,2018/11/22 11:25:00,accepted,,,,,,,,,,
1542875400003,call client to complement information,Murray,2018/11/22 11:25:00,2018/11/22 11:29:39,,,,,pickedup,,,,,,
1542875400002,send welcome letter,Mose,2018/11/22 11:21:28,2018/11/22 11:32:07,,,,,,,,,,,
1542875400003,create loan offer,Murray,2018/11/22 11:29:39,2018/11/22 11:41:25,,,,created,,,,,,,
1542875400003,send loan offer,Murray,2018/11/22 11:41:25,2018/11/22 11:45:11,,,,,,,,,,,
1542875400002,activate loan application,General Manager,2018/11/22 11:32:07,2018/11/22 11:52:12,,,,,,,,,,completed,
1542875400001,after one hour 2,,2018/11/22 11:59:49,2018/11/22 11:59:49,,,,,,,,,,,
1542875400004,perform credit check,Murray,2018/11/22 11:50:37,2018/11/22 12:00:55,,,accepted,,,accepted,,,accepted,,
1542875400000,after one hour 2,,2018/11/22 12:05:29,2018/11/22 12:05:29,,,,,,,,,,,
1542875400002,execute initial payment,Mose,2018/11/22 11:52:12,2018/11/22 12:05:48,,,,,,,completed,,,,
1542875400004,confirm credibility check,Murray,2018/11/22 12:00:55,2018/11/22 12:07:28,accepted,,,,,,,,,,
1542875400004,call client to complement information,Murray,2018/11/22 12:07:28,2018/11/22 12:12:56,,,,,notpickedup,,,,,,
1542875400000,activate loan application,General Manager,2018/11/22 12:05:29,2018/11/22 12:22:48,,,,,,,,,,completed,
1542875400005,perform credit check,Mose,2018/11/22 12:05:48,2018/11/22 12:25:10,,,accepted,,,accepted,,,accepted,,
1542875400005,confirm credibility check,Mose,2018/11/22 12:25:10,2018/11/22 12:32:12,accepted,,,,,,,,,,
1542875400000,execute initial payment,Murray,2018/11/22 12:22:48,2018/11/22 12:35:43,,,,,,,completed,,,,
1542875400005,call client to complement information,Mose,2018/11/22 12:32:12,2018/11/22 12:37:53,,,,,pickedup,,,,,,
1542875400002,return documents to client,General Manager,2018/11/22 12:22:48,2018/11/22 12:40:37,,,,,,,,,,,
1542875400002,end,,2018/11/22 12:40:37,2018/11/22 12:40:37,,,,,,,,,,,
1542875400003,after one hour 2,,2018/11/22 12:48:35,2018/11/22 12:48:35,,,,,,,,,,,
1542875400000,remind client,Murray,2018/11/22 12:35:43,2018/11/22 12:50:49,,,,,,,,,,,
1542875400000,return documents to client,General Manager,2018/11/22 12:50:49,2018/11/22 13:02:14,,,,,,,,,,,
1542875400000,end,,2018/11/22 13:02:14,2018/11/22 13:02:14,,,,,,,,,,,
1542875400001,after one hour 1,,2018/11/22 13:03:18,2018/11/22 13:03:18,,,,,,,,,,,
1542875400005,create loan offer,Mose,2018/11/22 12:37:53,2018/11/22 13:04:35,,,,created,,,,,,,
1542875400005,send loan offer,Mose,2018/11/22 13:04:35,2018/11/22 13:07:30,,,,,,,,,,,
1542875400001,remind client,Murray,2018/11/22 13:03:18,2018/11/22 13:14:44,,,,,,,,,,,
1542875400004,after one hour 2,,2018/11/22 13:17:52,2018/11/22 13:17:52,,,,,,,,,,,
1542875400004,remind client,Mose,2018/11/22 13:17:52,2018/11/22 13:33:14,,,,,,,,,,,
1542875400006,perform credit check,Murray,2018/11/22 13:23:22,2018/11/22 13:43:26,,,accepted,,,accepted,,,accepted,,
1542875400005,receive accepted offer,,2018/11/22 13:45:46,2018/11/22 13:45:46,,,,,,,,received,,,
1542875400007,perform credit check,Mose,2018/11/22 13:33:14,2018/11/22 13:47:25,,,accepted,,,accepted,,,accepted,,
1542875400004,call client to complement information,Murray,2018/11/22 13:43:26,2018/11/22 13:52:58,,,,,pickedup,,,,,,
1542875400003,after one hour 1,,2018/11/22 13:53:04,2018/11/22 13:53:04,,,,,,,,,,,
1542875400001,receive accepted offer,,2018/11/22 13:55:21,2018/11/22 13:55:21,,,,,,,,received,,,
1542875400006,confirm credibility check,Murray,2018/11/22 13:52:58,2018/11/22 13:57:54,accepted,,,,,,,,,,
1542875400005,send welcome letter,Mose,2018/11/22 13:47:25,2018/11/22 14:01:23,,,,,,,,,,,
1542875400003,remind client,General Manager,2018/11/22 13:53:04,2018/11/22 14:06:04,,,,,,,,,,,
1542875400008,perform credit check,Mose,2018/11/22 14:01:23,2018/11/22 14:07:15,,,accepted,,,accepted,,,accepted,,
1542875400001,send welcome letter,Murray,2018/11/22 13:57:54,2018/11/22 14:11:44,,,,,,,,,,,
1542875400007,confirm credibility check,Murray,2018/11/22 14:11:44,2018/11/22 14:15:32,accepted,,,,,,,,,,
1542875400005,activate loan application,General Manager,2018/11/22 14:06:04,2018/11/22 14:19:09,,,,,,,,,,completed,
1542875400004,create loan offer,Mose,2018/11/22 14:07:15,2018/11/22 14:23:50,,,,created,,,,,,,
1542875400005,validate loan activation,General Manager,2018/11/22 14:19:09,2018/11/22 14:30:52,,,,,,,,,,,
1542875400006,call client to complement information,Mose,2018/11/22 14:23:50,2018/11/22 14:30:56,,,,,pickedup,,,,,,
1542875400007,call client to complement information,Mose,2018/11/22 14:30:56,2018/11/22 14:34:02,,,,,pickedup,,,,,,
1542875400001,activate loan application,Murray,2018/11/22 14:15:32,2018/11/22 14:34:13,,,,,,,,,,completed,
1542875400003,receive accepted offer,,2018/11/22 14:34:21,2018/11/22 14:34:21,,,,,,,,received,,,
1542875400004,send loan offer,Mose,2018/11/22 14:34:02,2018/11/22 14:39:32,,,,,,,,,,,
1542875400008,confirm credibility check,Murray,2018/11/22 14:34:13,2018/11/22 14:42:44,accepted,,,,,,,,,,
1542875400005,execute initial payment,General Manager,2018/11/22 14:30:52,2018/11/22 14:54:06,,,,,,,completed,,,,
1542875400003,send welcome letter,Murray,2018/11/22 14:42:44,2018/11/22 14:55:17,,,,,,,,,,,
1542875400001,execute initial payment,Mose,2018/11/22 14:39:32,2018/11/22 15:00:08,,,,,,,completed,,,,
1542875400006,create loan offer,Murray,2018/11/22 14:55:17,2018/11/22 15:07:39,,,,created,,,,,,,
1542875400005,return documents to client,General Manager,2018/11/22 14:54:06,2018/11/22 15:11:04,,,,,,,,,,,
1542875400005,end,,2018/11/22 15:11:04,2018/11/22 15:11:04,,,,,,,,,,,
1542875400003,activate loan application,Mose,2018/11/22 15:00:08,2018/11/22 15:14:22,,,,,,,,,,completed,
1542875400008,call client to complement information,Mose,2018/11/22 15:14:22,2018/11/22 15:19:35,,,,,notpickedup,,,,,,
1542875400007,create loan offer,Murray,2018/11/22 15:07:39,2018/11/22 15:21:58,,,,created,,,,,,,
1542875400004,receive accepted offer,,2018/11/22 15:26:04,2018/11/22 15:26:04,,,,,,,,received,,,
1542875400003,validate loan activation,Mose,2018/11/22 15:19:35,2018/11/22 15:28:28,,,,,,,,,,,
1542875400009,perform credit check,Murray,2018/11/22 15:21:58,2018/11/22 15:30:30,,,accepted,,,accepted,,,accepted,,
1542875400001,return documents to client,General Manager,2018/11/22 15:11:04,2018/11/22 15:31:37,,,,,,,,,,,
1542875400001,end,,2018/11/22 15:31:37,2018/11/22 15:31:37,,,,,,,,,,,
1542875400010,perform credit check,Mose,2018/11/22 15:28:28,2018/11/22 15:39:29,,,accepted,,,accepted,,,rejected,,
1542875400009,confirm credibility check,Mose,2018/11/22 15:39:29,2018/11/22 15:46:09,accepted,,,,,,,,,,
1542875400006,send loan offer,Mose,2018/11/22 15:46:09,2018/11/22 15:48:55,,,,,,,,,,,
1542875400003,execute initial payment,Murray,2018/11/22 15:30:30,2018/11/22 15:51:57,,,,,,,completed,,,,
1542875400007,send loan offer,Mose,2018/11/22 15:48:55,2018/11/22 15:53:00,,,,,,,,,,,
1542875400010,confirm credibility check,Mose,2018/11/22 15:53:00,2018/11/22 16:00:33,rejected,,,,,,,,,,
1542875400006,receive accepted offer,,2018/11/22 16:01:08,2018/11/22 16:01:08,,,,,,,,received,,,
1542875400004,send welcome letter,Murray,2018/11/22 15:51:57,2018/11/22 16:04:22,,,,,,,,,,,
1542875400009,call client to complement information,Mose,2018/11/22 16:00:33,2018/11/22 16:05:28,,,,,pickedup,,,,,,
1542875400003,return documents to client,General Manager,2018/11/22 15:51:57,2018/11/22 16:10:52,,,,,,,,,,,
1542875400003,end,,2018/11/22 16:10:52,2018/11/22 16:10:52,,,,,,,,,,,
1542875400008,after one hour 2,,2018/11/22 16:23:18,2018/11/22 16:23:18,,,,,,,,,,,
1542875400010,send rejection letter,Mose,2018/11/22 16:05:28,2018/11/22 16:24:03,,sent,,,,,,,,,
1542875400010,end,,2018/11/22 16:24:03,2018/11/22 16:24:03,,,,,,,,,,,
1542875400011,perform credit check,Murray,2018/11/22 16:04:22,2018/11/22 16:29:20,,,accepted,,,accepted,,,accepted,,
1542875400009,create loan offer,Mose,2018/11/22 16:24:03,2018/11/22 16:35:51,,,,created,,,,,,,
1542875400008,call client to complement information,Murray,2018/11/22 16:29:20,2018/11/22 16:37:32,,,,,pickedup,,,,,,
1542875400011,confirm credibility check,Mose,2018/11/22 16:35:51,2018/11/22 16:40:22,accepted,,,,,,,,,,
